1,Adams,5
2,Asotin,5
3,Benton,5
4,Chelan,5
5,Clallam,5
6,Clark,5
7,Columbia,5
8,Cowlitz,5
9,Douglas,5
10,Ferry,5
11,Franklin,5
12,Garfield,5
13,Grant,5
14,Grays Harbor,5
15,Island,5
16,Jefferson,5
17,King,5
18,Kitsap,5
19,Kittitas,5
20,Klickitat,5
21,Lewis,5
22,Lincoln,5
23,Madison,3
24,Mason,5
25,Okanogan,5
26,Pacific,5
27,Pend Oreille,5
28,Pierce,5
29,San Diego,2
30,San Juan,5
31,Skagit,5
32,Skamania,5
33,Snohomish,5
34,Spokane,5
35,Stafford,4
36,Stevens,5
37,Thurston,5
38,Wahkiakum,5
39,Walla Walla,5
40,Whatcom,5
41,Whitman,5
42,Williamson,1
43,Yakima,5
