5YJ3E1EB9K;Williamson;Austin;TX;78717;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;0;NA;250969379;POINT (-97.79398 30.49266);NON WASHINGTON STATE ELECTRIC UTILITY;48491020509
WP1BE2AY0S;King;Bellevue;WA;98005;2025;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;48;274102944;POINT (-122.1718 47.59246);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023702
WP1BM2AY4R;King;Kirkland;WA;98033;2024;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;45;270889363;POINT (-122.2066 47.67887);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022401
WP1BN2AY7S;King;Seattle;WA;98112;2025;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;43;274203905;POINT (-122.30207 47.64085);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033006400
WP1BE2AY8S;King;Seattle;WA;98125;2025;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;46;274122320;POINT (-122.30253 47.72656);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000900
WP1AE2AY0S;King;Mercer Island;WA;98040;2025;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;41;272915765;POINT (-122.21238 47.57816);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024302
WP1BM2AY1R;King;Seattle;WA;98108;2024;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;11;272220189;POINT (-122.30346 47.55379);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033011002
W1NKM8AB0S;King;Bellevue;WA;98006;2025;MERCEDES-BENZ;GLC-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;41;275628825;POINT (-122.12096 47.55584);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024901
W1NKM8AB9S;King;Seattle;WA;98122;2025;MERCEDES-BENZ;GLC-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;37;274080355;POINT (-122.31009 47.60803);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033007800
5YJYGDED0M;San Diego;San Diego;CA;92131;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;NA;187492175;POINT (-117.06451 32.90323);NON WASHINGTON STATE ELECTRIC UTILITY;6073017045
WP1AE2AY7S;King;Woodinville;WA;98072;2025;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;45;274271035;POINT (-122.15545 47.75448);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032322
5YJ3E1EA1J;Madison;Saint Jacob;IL;62281;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;0;NA;230917508;POINT (-89.76838 38.71617);NON WASHINGTON STATE ELECTRIC UTILITY;17119403531
WP1BE2AY0S;King;Sammamish;WA;98074;2025;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;45;275358807;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032316
WP1BM2AY1R;King;Mercer Island;WA;98040;2024;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;41;272497872;POINT (-122.21238 47.57816);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024601
5YJ3E1EA6K;Stafford;Fredericksburg;VA;22405;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;0;NA;283686021;POINT (-77.44058 38.33761);NON WASHINGTON STATE ELECTRIC UTILITY;51179010403
WP1AE2AYXS;King;Medina;WA;98039;2025;PORSCHE;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;NA;NA;48;274293022;POINT (-122.23892 47.61613);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024200
